STA	TYPE	START	STOP	LON	LAT	NETID	NATFREQ	DAMPING	SEN	RECSEN	GAIN	COMPONENT	PAZFILE		
ARMA	H	20071119	25990101	151.6293	-30.4183	AU	-12345	-12345	1494.04	1677721.6	1	HHZ	sts2-g3.paz		
ARMA	H	20071119	25990101	151.6293	-30.4183	AU	-12345	-12345	1494.04	1677721.6	1	HHE	sts2-g3.paz		
ARMA	H	20071119	25990101	151.6293	-30.4183	AU	-12345	-12345	1494.04	1677721.6	1	HHN	sts2-g3.paz		
ARPS	E	20001028	20030629	141.8383	-36.7699	AU	-12345	-12345	166.216	3276.8	500	SHZ	willmore.paz		
ARPS	S	20030629	20100318	141.8383	-36.7699	AU	-12345	-12345	781.835	49938	16	SHN	cmg-40t-1s.paz		
ARPS	S	20030629	20100318	141.8383	-36.7699	AU	-12345	-12345	781.835	49938	16	SHZ	cmg-40t-1s.paz		
ARPS	E	20030629	20100318	141.8383	-36.7699	AU	-12345	-12345	781.835	49938	16	EHE	cmg-40t-1s.paz		
ARPS	E	20030629	20100318	141.8383	-36.7699	AU	-12345	-12345	781.835	49938	16	EHN	cmg-40t-1s.paz		
ARPS	E	20030629	20100318	141.8383	-36.7699	AU	-12345	-12345	781.835	49938	16	EHZ	cmg-40t-1s.paz		
ARPS	H	20100318	20190624	141.8383	-36.7699	AU	-12345	-12345	2002.8	1677721.6	1	HHE	cmg-40t-1s.paz	# note - response at IRIS incorrect!	
ARPS	H	20100318	20190624	141.8383	-36.7699	AU	-12345	-12345	2010.89	1677721.6	1	HHN	cmg-40t-1s.paz		
ARPS	H	20100318	20190624	141.8383	-36.7699	AU	-12345	-12345	2027.07	1677721.6	1	HHZ	cmg-40t-1s.paz		
ARPS	B	20100318	20190624	141.8383	-36.7699	AU	-12345	-12345	2002.8	1677721.6	1	BHE	cmg-40t-1s.paz		
ARPS	B	20100318	20190624	141.8383	-36.7699	AU	-12345	-12345	2010.89	1677721.6	1	BHN	cmg-40t-1s.paz		
ARPS	B	20100318	20190624	141.8383	-36.7699	AU	-12345	-12345	2027.07	1677721.6	1	BHZ	cmg-40t-1s.paz		
ARPS	B	20100318	20190624	141.8383	-36.7699	AU	-12345	-12345	2002.8	1677721.6	1	SHE	cmg-40t-1s.paz		
ARPS	B	20100318	20190624	141.8383	-36.7699	AU	-12345	-12345	2010.89	1677721.6	1	SHN	cmg-40t-1s.paz		
ARPS	B	20100318	20190624	141.8383	-36.7699	AU	-12345	-12345	2027.07	1677721.6	1	SHZ	cmg-40t-1s.paz		
ARPS	B	20190624	25990101	141.8383	-36.7699	AU	-12345	-12345	1196.67	400000	1	BHN	trillium-compact-120.paz		
ARPS	B	20190624	25990101	141.8383	-36.7699	AU	-12345	-12345	1196.67	400000	1	BHE	trillium-compact-120.paz		
ARPS	B	20190624	25990101	141.8383	-36.7699	AU	-12345	-12345	1196.67	400000	1	BHZ	trillium-compact-120.paz		
BBOO	B	19951208	20040330	136.0583	-32.8096	AU	-12345	-12345	1517.32	3276.8	56.5	BHE	cmg-3t-100s.paz	# BBoxII - guess gain based on residuals	
BBOO	B	19951208	20040330	136.0583	-32.8096	AU	-12345	-12345	1517.32	3276.8	56.5	BHN	cmg-3t-100s.paz		
BBOO	B	19951208	20040330	136.0583	-32.8096	AU	-12345	-12345	1517.32	3276.8	56.5	BHZ	cmg-3t-100s.paz		
BBOO	B	19951208	20040330	136.0583	-32.8096	AU	-12345	-12345	1517.32	3276.8	56.5	SHE	cmg-3t-100s.paz	# BBoxII - incorrect channel code	
BBOO	B	19951208	20040330	136.0583	-32.8096	AU	-12345	-12345	1517.32	3276.8	56.5	SHN	cmg-3t-100s.paz		
BBOO	B	19951208	20040330	136.0583	-32.8096	AU	-12345	-12345	1517.32	3276.8	56.5	SHZ	cmg-3t-100s.paz		
BBOO	B	20040809	20050525	136.0583	-32.8096	AU	-12345	-12345	808.829	49938	4	BHE	cmg-40t-60s.paz	#GDAS	
BBOO	B	20040809	20050525	136.0583	-32.8096	AU	-12345	-12345	809.031	49938	4	BHN	cmg-40t-60s.paz		
BBOO	B	20040809	20050525	136.0583	-32.8096	AU	-12345	-12345	808.424	49938	4	BHZ	cmg-40t-60s.paz		
BBOO	B	20050526	20081124	136.0583	-32.8096	AU	-12345	-12345	2008.94	49938	4	BHE	cmg-3esp-100s.paz	 #GDAS	
BBOO	B	20050526	20081124	136.0583	-32.8096	AU	-12345	-12345	2008.94	49938	4	BHN	cmg-3esp-100s.paz		
BBOO	B	20050526	20081124	136.0583	-32.8096	AU	-12345	-12345	2008.94	49938	4	BHZ	cmg-3esp-100s.paz		
BBOO	B	20081124	20230701	136.0588	-32.8102	AU	-12345	-12345	1494.04	1677721.6	1	HHZ	sts2-g3.paz		
BBOO	B	20081124	20230701	136.0588	-32.8102	AU	-12345	-12345	1494.04	1677721.6	1	HHE	sts2-g3.paz		
BBOO	B	20081124	20230701	136.0588	-32.8102	AU	-12345	-12345	1494.04	1677721.6	1	HHN	sts2-g3.paz		
BBOO	B	20081124	20230701	136.0588	-32.8102	AU	-12345	-12345	1494.04	1677721.6	1	BHZ	sts2-g3.paz		
BBOO	B	20081124	20230701	136.0588	-32.8102	AU	-12345	-12345	1494.04	1677721.6	1	BHE	sts2-g3.paz		
BBOO	B	20081124	20230701	136.0588	-32.8102	AU	-12345	-12345	1494.04	1677721.6	1	BHN	sts2-g3.paz		
BBOO	B	20230701	25990101	136.0588	-32.8102	AU	-12345	-12345	1202.5	400000	1	BHE	trillium-horizon-120.paz		
BBOO	B	20230701	25990101	136.0588	-32.8102	AU	-12345	-12345	1202.5	400000	1	BHN	trillium-horizon-120.paz		
